type,timestamp,positions
CONTROL,2970543.3860071935,"[0.006, -0.093, 0.392, -0.009, 0.09, 0.611]"
CONTROL,2990612.6389978454,"[0.003, -0.096, 0.395, -0.006, 0.093, 0.608]"
CONTROL,3010681.353043765,"[0.0, -0.099, 0.398, -0.003, 0.096, 0.605]"
CONTROL,3030771.2870417163,"[-0.003, -0.102, 0.401, 0.0, 0.099, 0.602]"
CONTROL,3050842.7000022493,"[-0.006, -0.105, 0.404, 0.003, 0.102, 0.599]"
CONTROL,3070909.214031417,"[-0.009, -0.108, 0.407, 0.006, 0.105, 0.596]"
CONTROL,3090979.4680192135,"[-0.012, -0.111, 0.41, 0.009, 0.108, 0.593]"
CONTROL,3111047.1910214983,"[-0.015, -0.114, 0.413, 0.012, 0.111, 0.59]"
CONTROL,3131098.46500447,"[-0.018, -0.117, 0.416, 0.015, 0.114, 0.587]"
CONTROL,3151166.2590201013,"[-0.021, -0.12, 0.419, 0.018, 0.117, 0.584]"
CONTROL,3171230.153006036,"[-0.024, -0.123, 0.422, 0.021, 0.12, 0.581]"
CONTROL,3191297.5560408086,"[-0.027, -0.126, 0.425, 0.024, 0.123, 0.578]"
CONTROL,3211367.740004789,"[-0.03, -0.129, 0.428, 0.027, 0.126, 0.575]"
CONTROL,3231441.944022663,"[-0.033, -0.132, 0.431, 0.03, 0.129, 0.572]"
CONTROL,3251512.797025498,"[-0.036, -0.135, 0.434, 0.033, 0.132, 0.569]"
CONTROL,3271585.9310119413,"[-0.039, -0.138, 0.437, 0.036, 0.135, 0.566]"
CONTROL,3291659.2149995267,"[-0.042, -0.141, 0.44, 0.039, 0.138, 0.563]"
CONTROL,3311731.3780239783,"[-0.045, -0.144, 0.443, 0.042, 0.141, 0.56]"
CONTROL,3331804.0120066144,"[-0.048, -0.147, 0.446, 0.045, 0.144, 0.557]"
CONTROL,3351870.436046738,"[-0.051, -0.15, 0.449, 0.048, 0.147, 0.554]"
CONTROL,3371939.9500405416,"[-0.054, -0.147, 0.452, 0.051, 0.15, 0.551]"
CONTROL,3392015.043005813,"[-0.057, -0.144, 0.455, 0.054, 0.147, 0.548]"
CONTROL,3412085.7870439067,"[-0.06, -0.141, 0.458, 0.057, 0.144, 0.545]"
CONTROL,3432109.8109940067,"[-0.063, -0.138, 0.461, 0.06, 0.141, 0.542]"
CONTROL,3452177.405008115,"[-0.066, -0.135, 0.464, 0.063, 0.138, 0.539]"
CONTROL,3472245.2480345964,"[-0.069, -0.132, 0.467, 0.066, 0.135, 0.536]"
CONTROL,3492315.942014102,"[-0.072, -0.129, 0.47, 0.069, 0.132, 0.533]"
CONTROL,3512388.1960171275,"[-0.075, -0.126, 0.473, 0.072, 0.129, 0.53]"
CONTROL,3532458.3490146324,"[-0.078, -0.123, 0.476, 0.075, 0.126, 0.527]"
