type,timestamp,positions
CONTROL,4717366.668977775,"[0.008, 0.0064, 0.4792, 0.0352, -0.0304, 0.516]"
CONTROL,4737431.727000512,"[0.0128, 0.00064, 0.48592, 0.02752, -0.03904, 0.5256]"
CONTROL,4757500.195992179,"[0.0176, -0.00512, 0.49264, 0.01984, -0.03232, 0.5352]"
CONTROL,4777570.674021263,"[0.0224, -0.01088, 0.49936, 0.01216, -0.02368, 0.5352]"
CONTROL,4797639.4619909115,"[0.0272, -0.01664, 0.50608, 0.00448, -0.01504, 0.5256]"
CONTROL,4817704.57100356,"[0.032, -0.0224, 0.5128, -0.0032, -0.0064, 0.516]"
CONTROL,4837786.349002272,"[0.0368, -0.02816, 0.51952, -0.01088, 0.00224, 0.5064]"
CONTROL,4857845.108024776,"[0.0384, -0.03392, 0.52624, -0.01856, 0.01088, 0.4968]"
CONTROL,4877918.636018876,"[0.0336, -0.03968, 0.53296, -0.02624, 0.01952, 0.4872]"
CONTROL,4897987.194010057,"[0.0288, -0.03456, 0.53968, -0.03392, 0.02816, 0.4776]"
CONTROL,4918063.383025583,"[0.024, -0.0288, 0.5336, -0.0384, 0.0368, 0.468]"
CONTROL,4938139.591016807,"[0.0192, -0.02304, 0.52688, -0.03072, 0.03456, 0.4616]"
CONTROL,4958228.480012622,"[0.0144, -0.01728, 0.52016, -0.02304, 0.02592, 0.4712]"
CONTROL,4978301.487979479,"[0.0096, -0.01152, 0.51344, -0.01536, 0.01728, 0.4808]"
CONTROL,4998375.365976244,"[0.0048, -0.00576, 0.50672, -0.00768, 0.00864, 0.4904]"
CONTROL,5018449.274997693,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,5038543.312984984,"[-0.0048, 0.00576, 0.49328, 0.00768, -0.00864, 0.5096]"
CONTROL,5058616.561000235,"[-0.0096, 0.01152, 0.48656, 0.01536, -0.01728, 0.5192]"
CONTROL,5078690.54999901,"[-0.0144, 0.01728, 0.47984, 0.02304, -0.02592, 0.5288]"
CONTROL,5098771.408025641,"[-0.0192, 0.02304, 0.47312, 0.03072, -0.03456, 0.5384]"
CONTROL,5118836.465990171,"[-0.024, 0.0288, 0.4664, 0.0384, -0.0368, 0.532]"
CONTROL,5138907.685002778,"[-0.0288, 0.03456, 0.46032, 0.03392, -0.02816, 0.5224]"
CONTROL,5158972.862991504,"[-0.0336, 0.03968, 0.46704, 0.02624, -0.01952, 0.5128]"
CONTROL,5179045.92101695,"[-0.0384, 0.03392, 0.47376, 0.01856, -0.01088, 0.5032]"
CONTROL,5199125.889979769,"[-0.0368, 0.02816, 0.48048, 0.01088, -0.00224, 0.4936]"
CONTROL,5219197.847996838,"[-0.032, 0.0224, 0.4872, 0.0032, 0.0064, 0.484]"
